date,game_id,opponent,home_away,inning,streak,player_1,player_2,player_3,player_4,player_5
2015/05/21,CHA201505210,CHA,Away,1,2,Nick Swisher,Mike Aviles,,,
2015/07/29,CLE201507290,KCA,Home,6,2,Francisco Lindor,Michael Brantley,,,
2016/06/26,DET201606260,DET,Away,5,2,Juan Uribe,Tyler Naquin,,,
2016/06/21,CLE201606210,TBA,Home,8,2,Jose Ramirez,Juan Uribe,,,
2016/07/08,CLE201607080,NYA,Home,1,2,Carlos Santana,Jason Kipnis,,,
2016/08/11,CLE201608110,ANA,Home,5,2,Mike Napoli,Jose Ramirez,,,
2016/08/19,CLE201608190,TOR,Home,9,2,Jose Ramirez,Tyler Naquin,,,
2017/09/05,CHA201709050,CHA,Away,1,2,Austin Jackson,Jose Ramirez,,,
2017/05/29,CLE201705290,OAK,Home,4,2,Carlos Santana,Edwin Encarnacion,,,
2017/09/10,CLE201709100,BAL,Home,6,2,Roberto Perez,Francisco Lindor,,,
2017/05/06,KCA201705060,KCA,Away,9,2,Carlos Santana,Francisco Lindor,,,
2018/08/11,CHA201808110,CHA,Away,6,2,Michael Brantley,Jose Ramirez,,,
2018/06/27,SLN201806270,SLN,Away,2,2,Edwin Encarnacion,Lonnie Chisenhall,,,
2018/04/17,MIN201804170,MIN,Away,6,2,Jose Ramirez,Michael Brantley,,,
2018/04/27,CLE201804270,SEA,Home,1,2,Michael Brantley,Edwin Encarnacion,,,
2018/04/27,CLE201804270,SEA,Home,6,2,Yonder Alonso,Yan Gomes,,,
2018/05/30,CLE201805300,CHA,Home,4,2,Jose Ramirez,Edwin Encarnacion,,,
2018/09/14,CLE201809140,DET,Home,6,2,Edwin Encarnacion,Josh Donaldson,,,
2018/09/15,CLE201809150,DET,Home,1,2,Francisco Lindor,Michael Brantley,,,
2018/09/20,CLE201809200,CHA,Home,3,2,Francisco Lindor,Michael Brantley,,,
2019/05/14,CHA201905140,CHA,Away,6,2,Jordan Luplow,Jose Ramirez,,,
2019/06/04,CLE201906040,MIN,Home,7,2,Roberto Perez,Jake Bauers,,,
2019/06/25,CLE201906250,KCA,Home,5,2,Roberto Perez,Mike Freeman,,,
2019/08/15,NYA201908150,NYA,Away,1,2,Jose Ramirez,Jason Kipnis,,,
2019/08/15,NYA201908150,NYA,Away,8,2,Greg Allen,Carlos Santana,,,
2019/06/18,TEX201906180,TEX,Away,7,3,Jake Bauers,Roberto Perez,Tyler Naquin,,
2019/06/19,TEX201906190,TEX,Away,1,2,Jason Kipnis,Roberto Perez,,,
2021/07/31,CHA202107310,CHA,Away,5,2,Owen Miller,Austin Hedges,,,
2021/05/31,CLE202105311,CHA,Home,1,2,Cesar Hernandez,Amed Rosario,,,
2021/07/28,CLE202107280,SLN,Home,3,2,Jose Ramirez,Franmil Reyes,,,
2022/08/24,SDN202208240,SDN,Away,4,2,Jose Ramirez,Oscar Gonzalez,,,
2022/06/09,CLE202206090,OAK,Home,4,2,Jose Ramirez,Josh Naylor,,,
2022/07/02,CLE202207021,NYA,Home,2,2,Josh Naylor,Franmil Reyes,,,
2023/05/31,BAL202305310,BAL,Away,4,2,Josh Naylor,Josh Bell,,,
2023/04/23,CLE202304230,MIA,Home,3,2,Jose Ramirez,Josh Bell,,,
2023/07/06,CLE202307060,KCA,Home,6,2,Jose Ramirez,Josh Naylor,,,
2023/09/26,CLE202309260,CIN,Home,3,2,Kole Calhoun,Andres Gimenez,,,
2024/08/30,CLE202408300,PIT,Home,5,2,Jhonkensy Noel,Andres Gimenez,,,
2024/09/14,CLE202409140,TBA,Home,8,2,Lane Thomas,Jose Ramirez,,,
2024/05/24,ANA202405240,ANA,Away,4,2,Jose Ramirez,Josh Naylor,,,
2025/04/21,CLE202504210,NYA,Home,3,2,Jose Ramirez,Kyle Manzardo,,,
2025/08/12,CLE202508120,MIA,Home,1,2,Jose Ramirez,Kyle Manzardo,,,
2025/07/09,HOU202507090,HOU,Away,1,2,Angel Martinez,Jose Ramirez,,,
2025/06/13,SEA202506130,SEA,Away,3,2,Nolan Jones,Steven Kwan,,,
2025/07/11,CHA202507111,CHA,Away,2,2,Daniel Schneemann,Angel Martinez,,,
2025/09/04,TBA202509040,TBA,Away,9,2,Jose Ramirez,Kyle Manzardo,,,
2025/04/17,BAL202504170,BAL,Away,3,2,Daniel Schneemann,Austin Hedges,,,
2025/07/02,CHN202507020,CHN,Away,2,2,Carlos Santana,Lane Thomas,,,
